Text,Category,Noun,Personal Pronoun,Adverb,Verb,Adjective,Preposition,Modal,Conjunction,Determiner,Verb present,Verb past,Verb past participle
 I will be a better listener.,Future Tense,,,,,,,,,,,,
 I will find joy in the small things.,Future Tense,,,,,,,,,,,,
 I will become a better version of myself.,Future Tense,,,,,,,,,,,,
 I will make better use of my time.,Future Tense,,,,,,,,,,,,
 I will make a commitment to self-improvement.,Future Tense,,,,,,,,,,,,
 I will let go of my fears.,Future Tense,,,,,,,,,,,,
 I will live a life of purpose.,Future Tense,,,,,,,,,,,,
 I will express my feelings more openly.,Future Tense,,,,,,,,,,,,
 I will find ways to stay creative.,Future Tense,,,,,,,,,,,,
 I will practice self-compassion.,Future Tense,,,,,,,,,,,,
 I will take time for leisure activities.,Future Tense,,,,,,,,,,,,
 I will nurture my relationships.,Future Tense,,,,,,,,,,,,
 I will have faith in myself.,Future Tense,,,,,,,,,,,,
 I will appreciate the beauty of life.,Future Tense,,,,,,,,,,,,
 I will be more generous with my energy.,Future Tense,,,,,,,,,,,,
 I will focus on my strengths.,Future Tense,,,,,,,,,,,,
 I will be open to new experiences.,Future Tense,,,,,,,,,,,,
 I will be a better steward of the environment.,Future Tense,,,,,,,,,,,,
 I will remain humble and grounded.,Future Tense,,,,,,,,,,,,
 I will set achievable goals.,Future Tense,,,,,,,,,,,,
 I will make time for reflection.,Future Tense,,,,,,,,,,,,
 I will have more patience.,Future Tense,,,,,,,,,,,,
 I will find ways to stay inspired.,Future Tense,,,,,,,,,,,,
 I will take the initiative and take action.,Future Tense,,,,,,,,,,,,
 I will continue to grow and evolve.,Future Tense,,,,,,,,,,,,
 I will be more accepting of myself.,Future Tense,,,,,,,,,,,,
 I will journey towards my authentic self.,Future Tense,,,,,,,,,,,,
 I will enjoy the journey.,Future Tense,,,,,,,,,,,,
 I will explore my potential.,Future Tense,,,,,,,,,,,,
 I will be more confident.,Future Tense,,,,,,,,,,,,
 I will discover my true passions.,Future Tense,,,,,,,,,,,,
 I will be open to change.,Future Tense,,,,,,,,,,,,
 I will seek out knowledge.,Future Tense,,,,,,,,,,,,
 I will be forgiving of myself and others.,Future Tense,,,,,,,,,,,,
 I will strive to be a better leader.,Future Tense,,,,,,,,,,,,
 I will recognize my worth.,Future Tense,,,,,,,,,,,,
 I will embrace new challenges.,Future Tense,,,,,,,,,,,,
 I will find ways to give back.,Future Tense,,,,,,,,,,,,
 I will look for the good in every situation.,Future Tense,,,,,,,,,,,,
 I will develop better communication skills.,Future Tense,,,,,,,,,,,,
 I will create a positive mindset.,Future Tense,,,,,,,,,,,,
 I will be more assertive.,Future Tense,,,,,,,,,,,,
 I will be proactive in my life.,Future Tense,,,,,,,,,,,,
 I will focus on my growth.,Future Tense,,,,,,,,,,,,
 I will practice self-care.,Future Tense,,,,,,,,,,,,
 I will be grateful for all of life's blessings.,Future Tense,,,,,,,,,,,,
 I will be more accepting of others.,Future Tense,,,,,,,,,,,,
 I will make time for adventure.,Future Tense,,,,,,,,,,,,
 I will develop healthier habits.,Future Tense,,,,,,,,,,,,
 I will make a difference in the world.,Future Tense,,,,,,,,,,,,
 I will make a positive contribution.,Future Tense,,,,,,,,,,,,
 I will look for opportunities to help others.,Future Tense,,,,,,,,,,,,
 I will take more risks.,Future Tense,,,,,,,,,,,,
 I will create a supportive network.,Future Tense,,,,,,,,,,,,
 I will stay focused on my goals.,Future Tense,,,,,,,,,,,,
 I will be more organized.,Future Tense,,,,,,,,,,,,
 I will prioritize my mental and physical health.,Future Tense,,,,,,,,,,,,
 I will be a more conscious consumer.,Future Tense,,,,,,,,,,,,
 I will be a better friend.,Future Tense,,,,,,,,,,,,
 I will be more open to feedback.,Future Tense,,,,,,,,,,,,
 I will forgive myself for past mistakes.,Future Tense,,,,,,,,,,,,
 I will be a better person.,Future Tense,,,,,,,,,,,,
 I will be more mindful of my decisions.,Future Tense,,,,,,,,,,,,
 I will be more aware of my surroundings.,Future Tense,,,,,,,,,,,,
 I will make an effort to express my feelings.,Future Tense,,,,,,,,,,,,
 I will make healthier choices.,Future Tense,,,,,,,,,,,,
 I will strive to be kinder.,Future Tense,,,,,,,,,,,,
 I will value myself and others.,Future Tense,,,,,,,,,,,,
 I will practice self-discipline.,Future Tense,,,,,,,,,,,,
 I will share my knowledge and experience.,Future Tense,,,,,,,,,,,,
 I will be more present in the moment.,Future Tense,,,,,,,,,,,,
 I will look for ways to improve.,Future Tense,,,,,,,,,,,,
 I will seek out new experiences.,Future Tense,,,,,,,,,,,,
 I will keep learning and growing.,Future Tense,,,,,,,,,,,,
 I will stay focused on the present.,Future Tense,,,,,,,,,,,,
 I will make the most of every day.,Future Tense,,,,,,,,,,,,
 I will live life to the fullest.,Future Tense,,,,,,,,,,,,
 I will be graduating from college next year.,Future Tense,,,,,,,,,,,,
 I will be getting married next summer.,Future Tense,,,,,,,,,,,,
 I will be starting a new job in the fall.,Future Tense,,,,,,,,,,,,
 I will be traveling to Europe next month.,Future Tense,,,,,,,,,,,,
 I will be buying a new house next spring.,Future Tense,,,,,,,,,,,,
 I will be taking a vacation to Hawaii in two years.,Future Tense,,,,,,,,,,,,
 I will be completing my master's degree in three years.,Future Tense,,,,,,,,,,,,
 I will be having my first child in four years.,Future Tense,,,,,,,,,,,,
 I will be opening my own business in five years.,Future Tense,,,,,,,,,,,,
 I will be retiring in six years.,Future Tense,,,,,,,,,,,,
 I will be visiting my parents in seven years.,Future Tense,,,,,,,,,,,,
 I will be writing a book in eight years.,Future Tense,,,,,,,,,,,,
 I will be starting a new hobby in nine years.,Future Tense,,,,,,,,,,,,
 I will be planting a garden in ten years.,Future Tense,,,,,,,,,,,,
 I will be going on a cruise in eleven years.,Future Tense,,,,,,,,,,,,
 I will be learning a new language in twelve years.,Future Tense,,,,,,,,,,,,
 I will be taking an art class in thirteen years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip in fourteen years.,Future Tense,,,,,,,,,,,,
 I will be joining a yoga class in fifteen years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in sixteen years.,Future Tense,,,,,,,,,,,,
 I will be visiting a new country in seventeen years.,Future Tense,,,,,,,,,,,,
 I will be going skydiving in eighteen years.,Future Tense,,,,,,,,,,,,
 I will be going on a safari in nineteen years.,Future Tense,,,,,,,,,,,,
 I will be participating in a marathon in twenty years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in twenty-one years.,Future Tense,,,,,,,,,,,,
 I will be joining a book club in twenty-two years.,Future Tense,,,,,,,,,,,,
 I will be volunteering at a soup kitchen in twenty-three years.,Future Tense,,,,,,,,,,,,
 I will be taking a cooking class in twenty-four years.,Future Tense,,,,,,,,,,,,
 I will be going scuba diving in twenty-five years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip across the US in twenty-six years.,Future Tense,,,,,,,,,,,,
 I will be visiting an old friend in twenty-seven years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in Europe in twenty-eight years.,Future Tense,,,,,,,,,,,,
 I will be joining a soccer team in twenty-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing trip in thirty years.,Future Tense,,,,,,,,,,,,
 I will be visiting a foreign country in thirty-one years.,Future Tense,,,,,,,,,,,,
 I will be getting my pilot's license in thirty-two years.,Future Tense,,,,,,,,,,,,
 I will be going on a hot air balloon ride in thirty-three years.,Future Tense,,,,,,,,,,,,
 I will be attending a wine tasting in thirty-four years.,Future Tense,,,,,,,,,,,,
 I will be finishing my second master's degree in thirty-five years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography class in thirty-six years.,Future Tense,,,,,,,,,,,,
 I will be riding a motorcycle in thirty-seven years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in thirty-eight years.,Future Tense,,,,,,,,,,,,
 I will be completing a triathlon in thirty-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking a painting class in forty years.,Future Tense,,,,,,,,,,,,
 I will be visiting an old family friend in forty-one years.,Future Tense,,,,,,,,,,,,
 I will be attending a jazz festival in forty-two years.,Future Tense,,,,,,,,,,,,
 I will be joining a hiking club in forty-three years.,Future Tense,,,,,,,,,,,,
 I will be learning a new instrument in forty-four years.,Future Tense,,,,,,,,,,,,
 I will be going on a spa retreat in forty-five years.,Future Tense,,,,,,,,,,,,
 I will be starting a new business in forty-six years.,Future Tense,,,,,,,,,,,,
 I will be visiting a national park in forty-seven years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography trip around the world in forty-eight years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in Asia in forty-nine years.,Future Tense,,,,,,,,,,,,
 I will be going on a safari in Africa in fifty years.,Future Tense,,,,,,,,,,,,
 I will be joining an outdoor adventure group in fifty-one years.,Future Tense,,,,,,,,,,,,
 I will be going on a hot air balloon ride in fifty-two years.,Future Tense,,,,,,,,,,,,
 I will be visiting a new country every year in fifty-three years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in fifty-four years.,Future Tense,,,,,,,,,,,,
 I will be taking a course in creative writing in fifty-five years.,Future Tense,,,,,,,,,,,,
 I will be joining a book club in fifty-six years.,Future Tense,,,,,,,,,,,,
 I will be going on a Mediterranean cruise in fifty-seven years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing class in fifty-eight years.,Future Tense,,,,,,,,,,,,
 I will be going on a road trip across the US in fifty-nine years.,Future Tense,,,,,,,,,,,,
 I will be visiting my hometown in sixty years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in sixty-one years.,Future Tense,,,,,,,,,,,,
 I will be joining a yoga class in sixty-two years.,Future Tense,,,,,,,,,,,,
 I will be taking a vacation to Australia in sixty-three years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in sixty-four years.,Future Tense,,,,,,,,,,,,
 I will be taking a cooking class in sixty-five years.,Future Tense,,,,,,,,,,,,
 I will be going on a cruise to Antarctica in sixty-six years.,Future Tense,,,,,,,,,,,,
 I will be joining a soccer team in sixty-seven years.,Future Tense,,,,,,,,,,,,
 I will be visiting a foreign country in sixty-eight years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in sixty-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip across Europe in seventy years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in seventy-one years.,Future Tense,,,,,,,,,,,,
 I will be joining a hiking club in seventy-two years.,Future Tense,,,,,,,,,,,,
 I will be learning a new language in seventy-three years.,Future Tense,,,,,,,,,,,,
 I will be taking an art class in seventy-four years.,Future Tense,,,,,,,,,,,,
 I will be going on a hot air balloon ride in seventy-five years.,Future Tense,,,,,,,,,,,,
 I will be visiting a national park in seventy-six years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography class in seventy-seven years.,Future Tense,,,,,,,,,,,,
 I will be joining a book club in seventy-eight years.,Future Tense,,,,,,,,,,,,
 I will be attending a wine tasting in seventy-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing trip in eighty years.,Future Tense,,,,,,,,,,,,
 I will be joining an outdoor adventure group in eighty-one years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in eighty-two years.,Future Tense,,,,,,,,,,,,
 I will be attending a jazz festival in eighty-three years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography trip around the world in eighty-four years.,Future Tense,,,,,,,,,,,,
 I will be visiting a new country in eighty-five years.,Future Tense,,,,,,,,,,,,
 I will be taking a cooking class in eighty-six years.,Future Tense,,,,,,,,,,,,
 I will be visiting an old friend in eighty-seven years.,Future Tense,,,,,,,,,,,,
 I will be joining a soccer team in eighty-eight years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in Europe in eighty-nine years.,Future Tense,,,,,,,,,,,,
 I will be going on a cruise to the Caribbean in ninety years.,Future Tense,,,,,,,,,,,,
 I will be going on a safari in ninety-one years.,Future Tense,,,,,,,,,,,,
 I will be participating in a marathon in ninety-two years.,Future Tense,,,,,,,,,,,,
 I will be visiting an old family friend in ninety-three years.,Future Tense,,,,,,,,,,,,
 I will be joining a yoga class in ninety-four years.,Future Tense,,,,,,,,,,,,
 I will be going on a scuba diving trip in ninety-five years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip around the world in ninety-six years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in ninety-seven years.,Future Tense,,,,,,,,,,,,
 I will be taking a painting class in ninety-eight years.,Future Tense,,,,,,,,,,,,
 I will be joining a book club in ninety-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking an art class in one-hundred years.,Future Tense,,,,,,,,,,,,
 I will be going on a hot air balloon ride in one-hundred and one years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing class in one-hundred and two years.,Future Tense,,,,,,,,,,,,
 I will be visiting a foreign country in one-hundred and three years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in one-hundred and four years.,Future Tense,,,,,,,,,,,,
 I will be joining an outdoor adventure group in one-hundred and five years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in one-hundred and six years.,Future Tense,,,,,,,,,,,,
 I will be going on a hiking trip in one-hundred and seven years.,Future Tense,,,,,,,,,,,,
 I will be attending a jazz festival in one-hundred and eight years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography trip around the world in one-hundred and nine years.,Future Tense,,,,,,,,,,,,
 I will be visiting a new country every year in one-hundred and ten years.,Future Tense,,,,,,,,,,,,
 I will be going on a safari in one-hundred and eleven years.,Future Tense,,,,,,,,,,,,
 I will be joining a soccer team in one-hundred and twelve years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in one-hundred and thirteen years.,Future Tense,,,,,,,,,,,,
 I will be taking a cooking class in one-hundred and fourteen years.,Future Tense,,,,,,,,,,,,
 I will be joining a yoga class in one-hundred and fifteen years.,Future Tense,,,,,,,,,,,,
 I will be going on a cruise to Antarctica in one-hundred and sixteen years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip across the US in one-hundred and seventeen years.,Future Tense,,,,,,,,,,,,
 I will be attending a wine tasting in one-hundred and eighteen years.,Future Tense,,,,,,,,,,,,
 I will be taking a painting class in one-hundred and nineteen years.,Future Tense,,,,,,,,,,,,
 I will be going on a scuba diving trip in one-hundred and twenty years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography class in one-hundred and twenty-one years.,Future Tense,,,,,,,,,,,,
 I will be visiting my hometown in one-hundred and twenty-two years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in one-hundred and twenty-three years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in one-hundred and twenty-four years.,Future Tense,,,,,,,,,,,,
 I will be joining a book club in one-hundred and twenty-five years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing trip in one-hundred and twenty-six years.,Future Tense,,,,,,,,,,,,
 I will be going on a hot air balloon ride in one-hundred and twenty-seven years.,Future Tense,,,,,,,,,,,,
 I will be visiting an old friend in one-hundred and twenty-eight years.,Future Tense,,,,,,,,,,,,
 I will be joining an outdoor adventure group in one-hundred and twenty-nine years.,Future Tense,,,,,,,,,,,,
 I will be taking a cooking class in one-hundred and thirty years.,Future Tense,,,,,,,,,,,,
 I will be attending a film festival in one-hundred and thirty-one years.,Future Tense,,,,,,,,,,,,
 I will be taking a road trip around the world in one-hundred and thirty-two years.,Future Tense,,,,,,,,,,,,
 I will be visiting a foreign country in one-hundred and thirty-three years.,Future Tense,,,,,,,,,,,,
 I will be joining a hiking club in one-hundred and thirty-four years.,Future Tense,,,,,,,,,,,,
 I will be taking a pottery class in one-hundred and thirty-five years.,Future Tense,,,,,,,,,,,,
 I will be attending a jazz festival in one-hundred and thirty-six years.,Future Tense,,,,,,,,,,,,
 I will be visiting a national park in one-hundred and thirty-seven years.,Future Tense,,,,,,,,,,,,
 I will be taking a photography trip around the world in one-hundred and thirty-eight years.,Future Tense,,,,,,,,,,,,
 I will be going on a safari in Africa in one-hundred and thirty-nine years.,Future Tense,,,,,,,,,,,,
 I will be attending a music festival in Asia in one-hundred and forty years.,Future Tense,,,,,,,,,,,,
 I will be joining a soccer team in one-hundred and forty-one years.,Future Tense,,,,,,,,,,,,
 I will be taking a sailing class in one-hundred and forty-two years.,Future Tense,,,,,,,,,,,,
 I will be visiting a new country in one-hundred and forty-three years.,Future Tense,,,,,,,,,,,,
 I will be going on a cruise to the Caribbean in one-hundred and forty-four years.,Future Tense,,,,,,,,,,,,
 I will be taking a painting class in one-hundred and forty-five years.,Future Tense,,,,,,,,,,,,
 I will be joining a yoga class in one-hundred and forty-six years.,Future Tense,,,,,,,,,,,,
 I play soccer every Saturday.,Present Tense,,,,,,,,,,,,
 She works at the library.,Present Tense,,,,,,,,,,,,
 He walks to school every day.,Present Tense,,,,,,,,,,,,
 We eat dinner together every night.,Present Tense,,,,,,,,,,,,
 They listen to music in their spare time.,Present Tense,,,,,,,,,,,,
 I read books for fun.,Present Tense,,,,,,,,,,,,
 She visits her grandparents every month.,Present Tense,,,,,,,,,,,,
 He takes the bus to work.,Present Tense,,,,,,,,,,,,
 We travel around the world.,Present Tense,,,,,,,,,,,,
 They watch movies on the weekends.,Present Tense,,,,,,,,,,,,
 I cook dinner for my family.,Present Tense,,,,,,,,,,,,
 She goes to the gym three times a week.,Present Tense,,,,,,,,,,,,
 He buys groceries at the supermarket.,Present Tense,,,,,,,,,,,,
 We go to the beach in the summer.,Present Tense,,,,,,,,,,,,
 They take naps on Sundays.,Present Tense,,,,,,,,,,,,
 I write stories for my friends.,Present Tense,,,,,,,,,,,,
 She spends time with her friends.,Present Tense,,,,,,,,,,,,
 He runs around the park.,Present Tense,,,,,,,,,,,,
 We take pictures of our adventures.,Present Tense,,,,,,,,,,,,
 They go hiking on the weekends.,Present Tense,,,,,,,,,,,,
 I sleep in late on Saturdays.,Present Tense,,,,,,,,,,,,
 She goes to the movies with her friends.,Present Tense,,,,,,,,,,,,
 He volunteers at a homeless shelter.,Present Tense,,,,,,,,,,,,
 We practice the piano every day.,Present Tense,,,,,,,,,,,,
 They ride their bikes to school.,Present Tense,,,,,,,,,,,,
 I practice yoga to stay fit.,Present Tense,,,,,,,,,,,,
 She shops for clothes at the mall.,Present Tense,,,,,,,,,,,,
 He plays basketball with his friends.,Present Tense,,,,,,,,,,,,
 We go to the park for picnics.,Present Tense,,,,,,,,,,,,
 They do their homework after school.,Present Tense,,,,,,,,,,,,
 I watch the news in the morning.,Present Tense,,,,,,,,,,,,
 She sings in the shower.,Present Tense,,,,,,,,,,,,
 He plants flowers in his garden.,Present Tense,,,,,,,,,,,,
 We go for walks in the evening.,Present Tense,,,,,,,,,,,,
 They do chores around the house.,Present Tense,,,,,,,,,,,,
 I take the dog for a walk.,Present Tense,,,,,,,,,,,,
 She skates at the ice rink.,Present Tense,,,,,,,,,,,,
 He visits his friends on the weekend.,Present Tense,,,,,,,,,,,,
 We have barbecues in the summer.,Present Tense,,,,,,,,,,,,
 They join clubs at school.,Present Tense,,,,,,,,,,,,
 I drink coffee in the morning.,Present Tense,,,,,,,,,,,,
 She plays video games with her brother.,Present Tense,,,,,,,,,,,,
 He goes fishing with his dad.,Present Tense,,,,,,,,,,,,
 We go to the zoo on the weekends.,Present Tense,,,,,,,,,,,,
 They talk on the phone with their friends.,Present Tense,,,,,,,,,,,,
 I take the train to work.,Present Tense,,,,,,,,,,,,
 She paints pictures for her art class.,Present Tense,,,,,,,,,,,,
 He listens to podcasts on his way to school.,Present Tense,,,,,,,,,,,,
 We go to the library for research.,Present Tense,,,,,,,,,,,,
 They take a break from studying.,Present Tense,,,,,,,,,,,,
 I watch the sunrise every morning.,Present Tense,,,,,,,,,,,,
 She does yoga in the morning.,Present Tense,,,,,,,,,,,,
 He always does his best.,Present Tense,,,,,,,,,,,,
 We enjoy going for bike rides.,Present Tense,,,,,,,,,,,,
 They stay up late talking.,Present Tense,,,,,,,,,,,,
 I make breakfast for my family.,Present Tense,,,,,,,,,,,,
 She goes to the farmer's market.,Present Tense,,,,,,,,,,,,
 He repairs electronics for his hobby.,Present Tense,,,,,,,,,,,,
 We practice speaking a new language.,Present Tense,,,,,,,,,,,,
 They play board games with their family.,Present Tense,,,,,,,,,,,,
 I take a nap in the afternoon.,Present Tense,,,,,,,,,,,,
 She decorates her room for the holidays.,Present Tense,,,,,,,,,,,,
 He goes to the park to play Frisbee.,Present Tense,,,,,,,,,,,,
 We watch TV together as a family.,Present Tense,,,,,,,,,,,,
 They go to the movies on date night.,Present Tense,,,,,,,,,,,,
 I write in a journal before bed.,Present Tense,,,,,,,,,,,,
 She takes a dance class after school.,Present Tense,,,,,,,,,,,,
 He goes to the art gallery on the weekends.,Present Tense,,,,,,,,,,,,
 We go camping in the mountains.,Present Tense,,,,,,,,,,,,
 They eat out at a restaurant once a week.,Present Tense,,,,,,,,,,,,
 I do my homework every day.,Present Tense,,,,,,,,,,,,
 She plays the flute in the band.,Present Tense,,,,,,,,,,,,
 He helps his parents around the house.,Present Tense,,,,,,,,,,,,
 We go to the museum to learn about history.,Present Tense,,,,,,,,,,,,
 They plan road trips with their friends.,Present Tense,,,,,,,,,,,,
 I go to the grocery store every week.,Present Tense,,,,,,,,,,,,
 She goes to the bank to deposit money.,Present Tense,,,,,,,,,,,,
 He attends church every Sunday.,Present Tense,,,,,,,,,,,,
 We go to the beach to relax.,Present Tense,,,,,,,,,,,,
 They go to the gym to stay healthy.,Present Tense,,,,,,,,,,,,
 I practice guitar for an hour every day.,Present Tense,,,,,,,,,,,,
 She goes to the library to study.,Present Tense,,,,,,,,,,,,
 He goes to the amusement park with his family.,Present Tense,,,,,,,,,,,,
 We go to the theater to watch plays.,Present Tense,,,,,,,,,,,,
 They order takeout for dinner.,Present Tense,,,,,,,,,,,,
 I listen to music while I work.,Present Tense,,,,,,,,,,,,
 She goes bowling with her friends.,Present Tense,,,,,,,,,,,,
 He goes to the park to play basketball.,Present Tense,,,,,,,,,,,,
 We go to the zoo to see the animals.,Present Tense,,,,,,,,,,,,
 They go to the aquarium to watch the fish.,Present Tense,,,,,,,,,,,,
 I write letters to my friends.,Present Tense,,,,,,,,,,,,
 She goes ice skating on the lake.,Present Tense,,,,,,,,,,,,
 He does volunteer work at a soup kitchen.,Present Tense,,,,,,,,,,,,
 We go for a swim in the lake.,Present Tense,,,,,,,,,,,,
 They play tennis in the summer.,Present Tense,,,,,,,,,,,,
 I go to the cafe for a cup of coffee.,Present Tense,,,,,,,,,,,,
 She skateboards in the park.,Present Tense,,,,,,,,,,,,
 He goes jogging in the morning.,Present Tense,,,,,,,,,,,,
 We make dinner for our neighbors.,Present Tense,,,,,,,,,,,,
 They go to concerts to hear good music.,Present Tense,,,,,,,,,,,,
 I water the plants in my garden.,Present Tense,,,,,,,,,,,,
 She goes to the store to buy supplies.,Present Tense,,,,,,,,,,,,
 He takes a photography class.,Present Tense,,,,,,,,,,,,
 We go to the mountains to go skiing.,Present Tense,,,,,,,,,,,,
 They play tag with the kids in the neighborhood.,Present Tense,,,,,,,,,,,,
 I go to the movies with my friends.,Present Tense,,,,,,,,,,,,
 She goes to the gym to work out.,Present Tense,,,,,,,,,,,,
 He rides his bike to work.,Present Tense,,,,,,,,,,,,
 We eat breakfast together in the morning.,Present Tense,,,,,,,,,,,,
 They do karaoke at parties.,Present Tense,,,,,,,,,,,,
 I take the bus to school.,Present Tense,,,,,,,,,,,,
 She writes stories for her blog.,Present Tense,,,,,,,,,,,,
 He plays chess with his grandpa.,Present Tense,,,,,,,,,,,,
 We go to the lake to go fishing.,Present Tense,,,,,,,,,,,,
 They go to the aquarium to learn about sea creatures.,Present Tense,,,,,,,,,,,,
 I do yoga in the park.,Present Tense,,,,,,,,,,,,
 She goes to the mall to shop for clothes.,Present Tense,,,,,,,,,,,,
 He plays soccer at the park.,Present Tense,,,,,,,,,,,,
 We go to the movies on Friday nights.,Present Tense,,,,,,,,,,,,
 They take the train to visit their family.,Present Tense,,,,,,,,,,,,
 I go to the park to play frisbee.,Present Tense,,,,,,,,,,,,
 She goes to the library to read books.,Present Tense,,,,,,,,,,,,
 He goes to the art museum to admire the paintings.,Present Tense,,,,,,,,,,,,
 We go to the beach to enjoy the sun.,Present Tense,,,,,,,,,,,,
 They go to the amusement park to ride the roller coasters.,Present Tense,,,,,,,,,,,,
 I ride my bike to school.,Present Tense,,,,,,,,,,,,
 She goes to church with her family.,Present Tense,,,,,,,,,,,,
 He studies at the library every day.,Present Tense,,,,,,,,,,,,
 We go to the gym to play basketball.,Present Tense,,,,,,,,,,,,
 They go to the farmer's market to buy fresh produce.,Present Tense,,,,,,,,,,,,
 I go to the coffee shop to get a cup of coffee.,Present Tense,,,,,,,,,,,,
 She plays board games with her friends.,Present Tense,,,,,,,,,,,,
 He goes to the playground with his little brother.,Present Tense,,,,,,,,,,,,
 We take the bus to go sightseeing.,Present Tense,,,,,,,,,,,,
 They stay up late to watch movies.,Present Tense,,,,,,,,,,,,
 I practice the piano for an hour every day.,Present Tense,,,,,,,,,,,,
 She goes for a run after dinner.,Present Tense,,,,,,,,,,,,
 He goes to the zoo to see the animals.,Present Tense,,,,,,,,,,,,
 We make dinner for our family.,Present Tense,,,,,,,,,,,,
 They go to the pet store to buy supplies.,Present Tense,,,,,,,,,,,,
 I go to the flea market to find treasures.,Present Tense,,,,,,,,,,,,
 She waters the plants in her garden.,Present Tense,,,,,,,,,,,,
 He goes to the skate park to skateboard.,Present Tense,,,,,,,,,,,,
 We go to the mall to hang out.,Present Tense,,,,,,,,,,,,
 They go to the park to play on the jungle gym.,Present Tense,,,,,,,,,,,,
 I go to the store to buy groceries.,Present Tense,,,,,,,,,,,,
 She goes to the lake to go swimming.,Present Tense,,,,,,,,,,,,
 He plays video games with his friends.,Present Tense,,,,,,,,,,,,
 We take the dog for a walk.,Present Tense,,,,,,,,,,,,
 They go to the science museum to learn about science.,Present Tense,,,,,,,,,,,,
 I go to the theater to watch a play.,Present Tense,,,,,,,,,,,,
 She plays tennis with her dad.,Present Tense,,,,,,,,,,,,
 He goes to the cafe for lunch.,Present Tense,,,,,,,,,,,,
 We go to the beach to build sand castles.,Present Tense,,,,,,,,,,,,
 They go to the arcade to play games.,Present Tense,,,,,,,,,,,,
 I practice my singing in the shower.,Present Tense,,,,,,,,,,,,
 She goes to the pet store to buy food for her pet.,Present Tense,,,,,,,,,,,,
 He goes to the library to borrow books.,Present Tense,,,,,,,,,,,,
 We go to the amusement park to ride the rides.,Present Tense,,,,,,,,,,,,
 They go to the restaurant for dinner.,Present Tense,,,,,,,,,,,,
 I go to the gym to lift weights.,Present Tense,,,,,,,,,,,,
 She takes a walk in the park.,Present Tense,,,,,,,,,,,,
 He goes to the park to play soccer.,Present Tense,,,,,,,,,,,,
 We go to the art gallery to view the art.,Present Tense,,,,,,,,,,,,
 They go to the movies to watch a movie.,Present Tense,,,,,,,,,,,,
 I go to the pool to swim laps.,Present Tense,,,,,,,,,,,,
 She goes to the beach to sunbathe.,Present Tense,,,,,,,,,,,,
 He goes to the museum to learn about history.,Present Tense,,,,,,,,,,,,
 We go to the lake to go kayaking.,Present Tense,,,,,,,,,,,,
 They go to the circus to watch the show.,Present Tense,,,,,,,,,,,,
 I go to the park to play Frisbee.,Present Tense,,,,,,,,,,,,
 She takes a dance class to learn new dance moves.,Present Tense,,,,,,,,,,,,
 He goes to the gym to run on the treadmill.,Present Tense,,,,,,,,,,,,
 We go to the store to buy new clothes.,Present Tense,,,,,,,,,,,,
 They go to the carnival to play games.,Present Tense,,,,,,,,,,,,
 I go to the zoo to see the animals.,Present Tense,,,,,,,,,,,,
 She goes to the aquarium to watch the fish.,Present Tense,,,,,,,,,,,,
 He goes to the coffee shop to meet his friends.,Present Tense,,,,,,,,,,,,
 We go to the library to do research.,Present Tense,,,,,,,,,,,,
 They go to the beach to play volleyball.,Present Tense,,,,,,,,,,,,
